(venv) root@54abc98375bd:/moheft/experiment/01_get_tasks_execution_time# ./E01_1_execute_workflow.sh 
Execution: 1
<< Matrix Multiplication >>
Local MatMul Computation done in 0.005460s
[WORKER][PID=1661] 2 x 1 x 0
[WORKER][PID=1661] 1 x 1 x 1
[WORKER][PID=1661] 1 x 2 x 1
[WORKER][PID=1661] 1 x 3 x 1
[WORKER][PID=1661] 1 x 4 x 1
[WORKER][PID=1661] 4 x 4 x 1
[WORKER][PID=1661] 2 x 0 x 1
[WORKER][PID=1661] 2 x 1 x 1
[WORKER][PID=1661] 1 x 1 x 2
[WORKER][PID=1661] 1 x 2 x 2
[WORKER][PID=1661] 1 x 3 x 2
[WORKER][PID=1661] 1 x 4 x 2
[WORKER][PID=1661] 4 x 4 x 2
[WORKER][PID=1661] 2 x 0 x 2
[WORKER][PID=1661] 2 x 1 x 2
[WORKER][PID=1661] 1 x 1 x 3
[WORKER][PID=1661] 1 x 2 x 3
[WORKER][PID=1661] 1 x 3 x 3
[WORKER][PID=1661] 1 x 4 x 3
[WORKER][PID=1661] 4 x 4 x 3
[WORKER][PID=1661] 2 x 0 x 3
[WORKER][PID=1661] 2 x 1 x 3
[WORKER][PID=1661] 1 x 1 x 4
[WORKER][PID=1661] 1 x 2 x 4
[WORKER][PID=1661] 1 x 3 x 4
[WORKER][PID=1661] 1 x 4 x 4
[WORKER][PID=1661] 4 x 4 x 4
[WORKER][PID=1661] 2 x 0 x 4
[WORKER][PID=1661] 2 x 1 x 4
[WORKER][PID=1661] 2 x 2 x 0
[WORKER][PID=1661] 2 x 3 x 0
[WORKER][PID=1661] 3 x 0 x 0
[WORKER][PID=1661] 3 x 1 x 0
[WORKER][PID=1661] 4 x 3 x 0
[WORKER][PID=1661] 3 x 2 x 0
[WORKER][PID=1661] 3 x 3 x 0
[WORKER][PID=1661] 2 x 2 x 1
[WORKER][PID=1661] 2 x 3 x 1
[WORKER][PID=1661] 3 x 0 x 1
[WORKER][PID=1661] 3 x 1 x 1
[WORKER][PID=1661] 4 x 3 x 1
[WORKER][PID=1661] 3 x 2 x 1
[WORKER][PID=1661] 3 x 3 x 1
[WORKER][PID=1661] 2 x 2 x 2
[WORKER][PID=1661] 2 x 3 x 2
[WORKER][PID=1661] 3 x 0 x 2
[WORKER][PID=1661] 3 x 1 x 2
[WORKER][PID=1661] 4 x 3 x 2
[WORKER][PID=1661] 3 x 2 x 2
[WORKER][PID=1661] 3 x 3 x 2
[WORKER][PID=1661] 2 x 2 x 3
[WORKER][PID=1661] 2 x 3 x 3
[WORKER][PID=1661] 3 x 0 x 3
[WORKER][PID=1661] 3 x 1 x 3
[WORKER][PID=1661] 4 x 3 x 3
[WORKER][PID=1661] 3 x 2 x 3
[WORKER][PID=1661] 3 x 3 x 3
[WORKER][PID=1661] 2 x 2 x 4
[WORKER][PID=1661] 2 x 3 x 4
[WORKER][PID=1661] 3 x 0 x 4
[WORKER][PID=1661] 3 x 1 x 4
[WORKER][PID=1661] 4 x 3 x 4
[WORKER][PID=1661] 3 x 2 x 4
[WORKER][PID=1661] 3 x 3 x 4
[WORKER][PID=1661] 3 x 4 x 0
[WORKER][PID=1661] 4 x 0 x 0
[WORKER][PID=1661] 4 x 1 x 0
[WORKER][PID=1661] 4 x 2 x 0
[WORKER][PID=1661] 3 x 4 x 1
[WORKER][PID=1661] 4 x 0 x 1
[WORKER][PID=1661] 4 x 1 x 1
[WORKER][PID=1661] 4 x 2 x 1
[WORKER][PID=1661] 3 x 4 x 2
[WORKER][PID=1661] 4 x 0 x 2
[WORKER][PID=1661] 4 x 1 x 2
[WORKER][PID=1661] 4 x 2 x 2
[WORKER][PID=1661] 3 x 4 x 3
[WORKER][PID=1661] 4 x 0 x 3
[WORKER][PID=1661] 4 x 1 x 3
[WORKER][PID=1661] 4 x 2 x 3
[WORKER][PID=1661] 3 x 4 x 4
[WORKER][PID=1661] 4 x 0 x 4
[WORKER][PID=1661] 4 x 1 x 4
[WORKER][PID=1661] 4 x 2 x 4
Offloaded BlockMatMul Computation done in 12.094568s
Non-Matching Block Outputs: 0
Execution: 3
<< Matrix Multiplication >>
Local MatMul Computation done in 0.011286s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1695] 0 x 1 x 0
[WORKER][PID=1695] 0 x 2 x 0
[WORKER][PID=1695] 0 x 4 x 0
[WORKER][PID=1695] 4 x 4 x 0
[WORKER][PID=1695] 0 x 3 x 0
[WORKER][PID=1695] 0 x 0 x 0
[WORKER][PID=1695] 1 x 0 x 0
[WORKER][PID=1695] 0 x 1 x 1
[WORKER][PID=1695] 0 x 2 x 1
[WORKER][PID=1695] 0 x 4 x 1
[WORKER][PID=1695] 4 x 4 x 1
[WORKER][PID=1695] 0 x 3 x 1
[WORKER][PID=1695] 1 x 0 x 1
[WORKER][PID=1695] 0 x 0 x 1
[WORKER][PID=1695] 0 x 1 x 2
[WORKER][PID=1695] 0 x 2 x 2
[WORKER][PID=1695] 0 x 4 x 2
[WORKER][PID=1695] 4 x 4 x 2
[WORKER][PID=1695] 0 x 3 x 2
[WORKER][PID=1695] 1 x 0 x 2
[WORKER][PID=1695] 0 x 0 x 2
[WORKER][PID=1695] 0 x 1 x 3
[WORKER][PID=1695] 0 x 2 x 3
[WORKER][PID=1695] 0 x 4 x 3
[WORKER][PID=1695] 4 x 4 x 3
[WORKER][PID=1695] 0 x 3 x 3
[WORKER][PID=1695] 1 x 0 x 3
[WORKER][PID=1695] 0 x 0 x 3
[WORKER][PID=1695] 0 x 1 x 4
[WORKER][PID=1695] 0 x 2 x 4
[WORKER][PID=1695] 0 x 4 x 4
[WORKER][PID=1695] 4 x 4 x 4
[WORKER][PID=1695] 0 x 3 x 4
[WORKER][PID=1695] 1 x 0 x 4
[WORKER][PID=1695] 0 x 0 x 4
[WORKER][PID=1695] 1 x 1 x 0
[WORKER][PID=1695] 1 x 2 x 0
[WORKER][PID=1695] 1 x 3 x 0
[WORKER][PID=1695] 4 x 3 x 0
[WORKER][PID=1695] 1 x 4 x 0
[WORKER][PID=1695] 2 x 0 x 0
[WORKER][PID=1695] 1 x 1 x 1
[WORKER][PID=1695] 2 x 1 x 0
[WORKER][PID=1695] 1 x 2 x 1
[WORKER][PID=1695] 1 x 3 x 1
[WORKER][PID=1695] 4 x 3 x 1
[WORKER][PID=1695] 1 x 4 x 1
[WORKER][PID=1695] 2 x 0 x 1
[WORKER][PID=1695] 1 x 1 x 2
[WORKER][PID=1695] 2 x 1 x 1
[WORKER][PID=1695] 1 x 2 x 2
[WORKER][PID=1695] 1 x 3 x 2
[WORKER][PID=1695] 4 x 3 x 2
[WORKER][PID=1695] 1 x 4 x 2
[WORKER][PID=1695] 2 x 0 x 2
[WORKER][PID=1695] 1 x 1 x 3
[WORKER][PID=1695] 2 x 1 x 2
[WORKER][PID=1695] 1 x 2 x 3
[WORKER][PID=1695] 1 x 3 x 3
[WORKER][PID=1695] 4 x 3 x 3
[WORKER][PID=1695] 1 x 4 x 3
[WORKER][PID=1695] 2 x 0 x 3
[WORKER][PID=1695] 1 x 1 x 4
[WORKER][PID=1695] 2 x 1 x 3
[WORKER][PID=1695] 1 x 2 x 4
[WORKER][PID=1695] 1 x 3 x 4
[WORKER][PID=1695] 4 x 3 x 4
[WORKER][PID=1695] 1 x 4 x 4
[WORKER][PID=1695] 2 x 0 x 4
[WORKER][PID=1695] 2 x 2 x 0
[WORKER][PID=1695] 2 x 1 x 4
[WORKER][PID=1695] 2 x 3 x 0
[WORKER][PID=1695] 2 x 4 x 0
[WORKER][PID=1695] 4 x 2 x 0
[WORKER][PID=1695] 3 x 0 x 0
[WORKER][PID=1695] 3 x 1 x 0
[WORKER][PID=1695] 2 x 2 x 1
[WORKER][PID=1695] 3 x 2 x 0
[WORKER][PID=1695] 2 x 3 x 1
[WORKER][PID=1695] 2 x 4 x 1
[WORKER][PID=1695] 4 x 2 x 1
[WORKER][PID=1695] 3 x 0 x 1
[WORKER][PID=1695] 3 x 1 x 1
[WORKER][PID=1695] 2 x 2 x 2
[WORKER][PID=1695] 3 x 2 x 1
[WORKER][PID=1695] 2 x 3 x 2
[WORKER][PID=1695] 2 x 4 x 2
[WORKER][PID=1695] 4 x 2 x 2
[WORKER][PID=1695] 3 x 0 x 2
[WORKER][PID=1695] 3 x 1 x 2
[WORKER][PID=1695] 2 x 2 x 3
[WORKER][PID=1695] 3 x 2 x 2
[WORKER][PID=1695] 2 x 3 x 3
[WORKER][PID=1695] 2 x 4 x 3
[WORKER][PID=1695] 4 x 2 x 3
[WORKER][PID=1695] 3 x 0 x 3
[WORKER][PID=1695] 3 x 1 x 3
[WORKER][PID=1695] 2 x 2 x 4
[WORKER][PID=1695] 3 x 2 x 3
[WORKER][PID=1695] 2 x 3 x 4
[WORKER][PID=1695] 2 x 4 x 4
[WORKER][PID=1695] 4 x 2 x 4
[WORKER][PID=1695] 3 x 0 x 4
[WORKER][PID=1695] 3 x 1 x 4
[WORKER][PID=1695] 3 x 3 x 0
[WORKER][PID=1695] 3 x 2 x 4
[WORKER][PID=1695] 3 x 4 x 0
[WORKER][PID=1695] 4 x 0 x 0
[WORKER][PID=1695] 4 x 1 x 0
[WORKER][PID=1695] 3 x 3 x 1
[WORKER][PID=1695] 3 x 4 x 1
[WORKER][PID=1695] 4 x 0 x 1
[WORKER][PID=1695] 4 x 1 x 1
[WORKER][PID=1695] 3 x 3 x 2
[WORKER][PID=1695] 3 x 4 x 2
[WORKER][PID=1695] 4 x 0 x 2
[WORKER][PID=1695] 4 x 1 x 2
[WORKER][PID=1695] 3 x 3 x 3
[WORKER][PID=1695] 3 x 4 x 3
[WORKER][PID=1695] 4 x 0 x 3
[WORKER][PID=1695] 4 x 1 x 3
[WORKER][PID=1695] 3 x 3 x 4
[WORKER][PID=1695] 3 x 4 x 4
[WORKER][PID=1695] 4 x 0 x 4
[WORKER][PID=1695] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 17.635675s
Non-Matching Block Outputs: 0
Execution: 4
<< Matrix Multiplication >>
Local MatMul Computation done in 0.001441s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1729] 0 x 2 x 0
[WORKER][PID=1729] 2 x 0 x 0
[WORKER][PID=1729] 0 x 3 x 0
[WORKER][PID=1729] 0 x 0 x 0
[WORKER][PID=1729] 1 x 0 x 0
[WORKER][PID=1729] 0 x 4 x 0
[WORKER][PID=1729] 0 x 1 x 0
[WORKER][PID=1729] 0 x 2 x 1
[WORKER][PID=1729] 2 x 0 x 1
[WORKER][PID=1729] 0 x 3 x 1
[WORKER][PID=1729] 0 x 0 x 1
[WORKER][PID=1729] 1 x 0 x 1
[WORKER][PID=1729] 0 x 4 x 1
[WORKER][PID=1729] 0 x 1 x 1
[WORKER][PID=1729] 0 x 2 x 2
[WORKER][PID=1729] 2 x 0 x 2
[WORKER][PID=1729] 0 x 3 x 2
[WORKER][PID=1729] 0 x 0 x 2
[WORKER][PID=1729] 1 x 0 x 2
[WORKER][PID=1729] 0 x 4 x 2
[WORKER][PID=1729] 0 x 1 x 2
[WORKER][PID=1729] 0 x 2 x 3
[WORKER][PID=1729] 2 x 0 x 3
[WORKER][PID=1729] 0 x 3 x 3
[WORKER][PID=1729] 0 x 0 x 3
[WORKER][PID=1729] 1 x 0 x 3
[WORKER][PID=1729] 0 x 4 x 3
[WORKER][PID=1729] 0 x 1 x 3
[WORKER][PID=1729] 0 x 2 x 4
[WORKER][PID=1729] 2 x 0 x 4
[WORKER][PID=1729] 0 x 3 x 4
[WORKER][PID=1729] 0 x 0 x 4
[WORKER][PID=1729] 1 x 0 x 4
[WORKER][PID=1729] 0 x 4 x 4
[WORKER][PID=1729] 0 x 1 x 4
[WORKER][PID=1729] 1 x 1 x 0
[WORKER][PID=1729] 4 x 4 x 0
[WORKER][PID=1729] 1 x 2 x 0
[WORKER][PID=1729] 1 x 3 x 0
[WORKER][PID=1729] 1 x 4 x 0
[WORKER][PID=1729] 2 x 1 x 0
[WORKER][PID=1729] 2 x 2 x 0
[WORKER][PID=1729] 1 x 1 x 1
[WORKER][PID=1729] 4 x 4 x 1
[WORKER][PID=1729] 1 x 2 x 1
[WORKER][PID=1729] 1 x 3 x 1
[WORKER][PID=1729] 1 x 4 x 1
[WORKER][PID=1729] 2 x 1 x 1
[WORKER][PID=1729] 2 x 2 x 1
[WORKER][PID=1729] 1 x 1 x 2
[WORKER][PID=1729] 4 x 4 x 2
[WORKER][PID=1729] 1 x 2 x 2
[WORKER][PID=1729] 1 x 3 x 2
[WORKER][PID=1729] 1 x 4 x 2
[WORKER][PID=1729] 2 x 1 x 2
[WORKER][PID=1729] 2 x 2 x 2
[WORKER][PID=1729] 1 x 1 x 3
[WORKER][PID=1729] 4 x 4 x 3
[WORKER][PID=1729] 1 x 2 x 3
[WORKER][PID=1729] 1 x 3 x 3
[WORKER][PID=1729] 1 x 4 x 3
[WORKER][PID=1729] 2 x 1 x 3
[WORKER][PID=1729] 2 x 2 x 3
[WORKER][PID=1729] 1 x 1 x 4
[WORKER][PID=1729] 4 x 4 x 4
[WORKER][PID=1729] 1 x 2 x 4
[WORKER][PID=1729] 1 x 3 x 4
[WORKER][PID=1729] 1 x 4 x 4
[WORKER][PID=1729] 2 x 1 x 4
[WORKER][PID=1729] 2 x 2 x 4
[WORKER][PID=1729] 2 x 3 x 0
[WORKER][PID=1729] 4 x 3 x 0
[WORKER][PID=1729] 2 x 4 x 0
[WORKER][PID=1729] 3 x 0 x 0
[WORKER][PID=1729] 3 x 1 x 0
[WORKER][PID=1729] 3 x 2 x 0
[WORKER][PID=1729] 3 x 3 x 0
[WORKER][PID=1729] 2 x 3 x 1
[WORKER][PID=1729] 4 x 3 x 1
[WORKER][PID=1729] 2 x 4 x 1
[WORKER][PID=1729] 3 x 0 x 1
[WORKER][PID=1729] 3 x 1 x 1
[WORKER][PID=1729] 3 x 2 x 1
[WORKER][PID=1729] 3 x 3 x 1
[WORKER][PID=1729] 2 x 3 x 2
[WORKER][PID=1729] 4 x 3 x 2
[WORKER][PID=1729] 2 x 4 x 2
[WORKER][PID=1729] 3 x 0 x 2
[WORKER][PID=1729] 3 x 1 x 2
[WORKER][PID=1729] 3 x 2 x 2
[WORKER][PID=1729] 3 x 3 x 2
[WORKER][PID=1729] 2 x 3 x 3
[WORKER][PID=1729] 4 x 3 x 3
[WORKER][PID=1729] 2 x 4 x 3
[WORKER][PID=1729] 3 x 0 x 3
[WORKER][PID=1729] 3 x 1 x 3
[WORKER][PID=1729] 3 x 2 x 3
[WORKER][PID=1729] 3 x 3 x 3
[WORKER][PID=1729] 2 x 3 x 4
[WORKER][PID=1729] 4 x 3 x 4
[WORKER][PID=1729] 2 x 4 x 4
[WORKER][PID=1729] 3 x 0 x 4
[WORKER][PID=1729] 3 x 1 x 4
[WORKER][PID=1729] 3 x 2 x 4
[WORKER][PID=1729] 3 x 3 x 4
[WORKER][PID=1729] 4 x 2 x 0
[WORKER][PID=1729] 3 x 4 x 0
[WORKER][PID=1729] 4 x 0 x 0
[WORKER][PID=1729] 4 x 1 x 0
[WORKER][PID=1729] 4 x 2 x 1
[WORKER][PID=1729] 3 x 4 x 1
[WORKER][PID=1729] 4 x 0 x 1
[WORKER][PID=1729] 4 x 1 x 1
[WORKER][PID=1729] 4 x 2 x 2
[WORKER][PID=1729] 3 x 4 x 2
[WORKER][PID=1729] 4 x 0 x 2
[WORKER][PID=1729] 4 x 1 x 2
[WORKER][PID=1729] 4 x 2 x 3
[WORKER][PID=1729] 3 x 4 x 3
[WORKER][PID=1729] 4 x 0 x 3
[WORKER][PID=1729] 4 x 1 x 3
[WORKER][PID=1729] 4 x 2 x 4
[WORKER][PID=1729] 3 x 4 x 4
[WORKER][PID=1729] 4 x 0 x 4
[WORKER][PID=1729] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 15.550162s
Non-Matching Block Outputs: 0
Execution: 5
<< Matrix Multiplication >>
Local MatMul Computation done in 0.011923s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1763] 4 x 2 x 0
[WORKER][PID=1763] 0 x 1 x 0
[WORKER][PID=1763] 0 x 2 x 0
[WORKER][PID=1763] 0 x 3 x 0
[WORKER][PID=1763] 0 x 0 x 0
[WORKER][PID=1763] 1 x 0 x 0
[WORKER][PID=1763] 0 x 4 x 0
[WORKER][PID=1763] 4 x 2 x 1
[WORKER][PID=1763] 0 x 1 x 1
[WORKER][PID=1763] 0 x 2 x 1
[WORKER][PID=1763] 0 x 3 x 1
[WORKER][PID=1763] 0 x 0 x 1
[WORKER][PID=1763] 1 x 0 x 1
[WORKER][PID=1763] 0 x 4 x 1
[WORKER][PID=1763] 4 x 2 x 2
[WORKER][PID=1763] 0 x 1 x 2
[WORKER][PID=1763] 0 x 2 x 2
[WORKER][PID=1763] 0 x 3 x 2
[WORKER][PID=1763] 0 x 0 x 2
[WORKER][PID=1763] 1 x 0 x 2
[WORKER][PID=1763] 0 x 4 x 2
[WORKER][PID=1763] 4 x 2 x 3
[WORKER][PID=1763] 0 x 1 x 3
[WORKER][PID=1763] 0 x 2 x 3
[WORKER][PID=1763] 0 x 3 x 3
[WORKER][PID=1763] 0 x 0 x 3
[WORKER][PID=1763] 1 x 0 x 3
[WORKER][PID=1763] 0 x 4 x 3
[WORKER][PID=1763] 4 x 2 x 4
[WORKER][PID=1763] 0 x 1 x 4
[WORKER][PID=1763] 0 x 2 x 4
[WORKER][PID=1763] 0 x 3 x 4
[WORKER][PID=1763] 0 x 0 x 4
[WORKER][PID=1763] 1 x 0 x 4
[WORKER][PID=1763] 0 x 4 x 4
[WORKER][PID=1763] 4 x 4 x 0
[WORKER][PID=1763] 1 x 1 x 0
[WORKER][PID=1763] 1 x 2 x 0
[WORKER][PID=1763] 1 x 4 x 0
[WORKER][PID=1763] 1 x 3 x 0
[WORKER][PID=1763] 2 x 0 x 0
[WORKER][PID=1763] 2 x 1 x 0
[WORKER][PID=1763] 4 x 4 x 1
[WORKER][PID=1763] 1 x 1 x 1
[WORKER][PID=1763] 1 x 2 x 1
[WORKER][PID=1763] 1 x 4 x 1
[WORKER][PID=1763] 1 x 3 x 1
[WORKER][PID=1763] 2 x 0 x 1
[WORKER][PID=1763] 2 x 1 x 1
[WORKER][PID=1763] 4 x 4 x 2
[WORKER][PID=1763] 1 x 1 x 2
[WORKER][PID=1763] 1 x 2 x 2
[WORKER][PID=1763] 1 x 4 x 2
[WORKER][PID=1763] 1 x 3 x 2
[WORKER][PID=1763] 2 x 0 x 2
[WORKER][PID=1763] 2 x 1 x 2
[WORKER][PID=1763] 4 x 4 x 3
[WORKER][PID=1763] 1 x 1 x 3
[WORKER][PID=1763] 1 x 2 x 3
[WORKER][PID=1763] 1 x 4 x 3
[WORKER][PID=1763] 1 x 3 x 3
[WORKER][PID=1763] 2 x 0 x 3
[WORKER][PID=1763] 2 x 1 x 3
[WORKER][PID=1763] 4 x 4 x 4
[WORKER][PID=1763] 1 x 1 x 4
[WORKER][PID=1763] 1 x 2 x 4
[WORKER][PID=1763] 1 x 4 x 4
[WORKER][PID=1763] 1 x 3 x 4
[WORKER][PID=1763] 2 x 0 x 4
[WORKER][PID=1763] 2 x 1 x 4
[WORKER][PID=1763] 4 x 3 x 0
[WORKER][PID=1763] 2 x 2 x 0
[WORKER][PID=1763] 2 x 3 x 0
[WORKER][PID=1763] 2 x 4 x 0
[WORKER][PID=1763] 3 x 0 x 0
[WORKER][PID=1763] 3 x 1 x 0
